TEXT COLLECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Title,Description,Creator ,Contributor,Publisher,Type,Identifier,Release Date,Language,Format,Metadata standards,Status,Has Part,Is Part Of,Academic field,Research activities,Methodology,Downloads,Current Version,Landing Page,Bibliographic References,Research Project,Software reuse,Access point,Documentation,Access rights,License,Edited work,Reference to the edited text,Bibliographic reference of edited text,Specifications on the edited text,Author(s) of the edited text,Type of the edited text,Genre of the items,Number of items
ALIM,Archivio della Latinità Italiana del Medioevo (ALIM),Works and sources from the Middle Ages in Latin in Italy,"Università di Verona; Università di Siena; Università Ca' Foscari; Università della Basilicata; Università Suor Orsola Benincasa (Napoli); Università di Palermo
",,Università di Siena,atlas:TextualArchive,/,/,latino medievale (LAT) http://publications.europa.eu/resource/authority/language/LAT ,XML (TEI) http://publications.europa.eu/resource/authority/file-type/XML https://www.iana.org/assignments/media-types/application/tei+xml; TXT http://publications.europa.eu/resource/authority/file-type/TXT https://www.iana.org/assignments/media-types/text/plain; PDF http://publications.europa.eu/resource/authority/file-type/PDF https://www.iana.org/assignments/media-types/application/pdf; HTML http://publications.europa.eu/resource/authority/file-type/HTML https://www.iana.org/assignments/media-types/text/html,http://www.dublincore.org/documents/dces ,Develop http://publications.europa.eu/resource/authority/dataset-status/DEVELOP ,Collezione asiatica; Nuove edizioni; editiones principes e prime trascrizioni; De dictamine sive de espistolis; De civitate aretina; De medicina; De historia; De legibus; De natura rerum; De itineribus; Fonti documentarie.,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/MSC-10-E,https://vocabs.dariah.eu/tadirah/en/page/discovering,https://vocabs.dariah.eu/tadirah/gathering; https://vocabs.dariah.eu/tadirah/en/page/annotating ; ,/,2,https://alim.unisi.it/,http://digital.casalini.it/4634293,,,https://alim.unisi.it/dl/,https://alim.unisi.it/documentazione/,"Open access 
http://purl.org/coar/access_right/c_abf2",Creative Commons,Scriptum super Libros Sententiarum; II,https://www.mirabileweb.it/title/-/scriptum-super-libros-sententiarum-thomas-de-aquin-title/4201,Edizioni Studio Domenicano; Bologna 2000,Critical edition,Thomas Aquinas,,Teologia; prosa',6654 fonti documentarie; 774 fonti letterarie
Biblioteca Italiana,Biblioteca Italiana (BibIt),Representative texts of the Italian cultural and literary tradition from the Middle Ages to the 20th century,"Università Sapienza di Roma; Amedeo Quondam (Presidente);
Beatrice Alfonzetti (Direttrice);
Stefano Asperti (Direttore)",,Università Sapienza di Roma,atlas:TextualArchive,/,1996,italiano; italiano volgare (IT) http://publications.europa.eu/resource/authority/language/ITA ,XML/TEI https://www.iana.org/assignments/media-types/application/tei+xml http://publications.europa.eu/resource/authority/file-type/XML,MODS http://www.loc.gov/standards/mods/ ; MAG https://www.iccu.sbn.it/it/normative-standard/linee-guida-per-la-digitalizzazione-e-metadati/standard-mag-versione-2.0.1/index.html ; MIX http://www.loc.gov/standards/mix/ ,Develop http://publications.europa.eu/resource/authority/dataset-status/DEVELOP ,BiBit; Incunaboli; Scrittori d'Italia,,https://schema.gov.it/lodview/controlled-vocabulary/classifications-for-universities/academic-disciplines/MSC-10-F,https://vocabs.dariah.eu/tadirah/en/page/discovering; https://vocabs.dariah.eu/tadirah/en/page/concordance,https://vocabs.dariah.eu/tadirah/gathering; https://vocabs.dariah.eu/tadirah/en/page/annotating; https://vocabs.dariah.eu/tadirah/en/page/imaging,/,/,http://www.bibliotecaitaliana.it/,https://doi.org/10.6092/issn.1721-4777/12360,Biblioteca italiana http://www.bibliotecaitaliana.it/ ,Muruca,http://www.bibliotecaitaliana.it/catalogo,http://www.bibliotecaitaliana.it/page/722,"Open access 
http://purl.org/coar/access_right/c_abf2",/,Antigone, ,Alfieri; Vittorio; Tragedie; Firenze Sansoni 1985,Critical edition,Vittorio Alfieri,,https://vocabs.dariah.eu/dyas/en/page/?uri=https%3A%2F%2Fhumanitiesthesaurus.academyofathens.gr%2Fdyas-resource%2FConcept%2F2536,3523 titoli (BIBIT: 1632 edizioni digitali; Incunaboli in volgare: 1604 incunaboli digitalizzati; Scrittori d'Italia: 287 volumi)
Musisque Deoque,Musisque Deoque (MQDQ),Latin poetry from its origins to the Italian Renaissance,Università Ca’ Foscari Venezia: Paolo Mastandrea; Università della Calabria: Raffaele Perrelli; Università di Parma: Gilberto Biondi; Università di Perugia: Loriano Zurli; Università di Napoli Federico II: Valeria Viparelli,Luigi Tessarolo; Andrea Bacianini; Alex Agnesini; Antonella Borgo.  ,Università Ca' Foscari di Venezia; Università della Calabria; Università di Napoli; Università degli Studi di Parma; Università degli Studi di Perugia,atlas:TextualArchive,/,2007,latino (LAT) http://publications.europa.eu/resource/authority/language/LAT ; greco antico (GRC) http://publications.europa.eu/resource/authority/language/GRC ,XML/TEI https://www.iana.org/assignments/media-types/application/tei+xml http://publications.europa.eu/resource/authority/file-type/XML, ,Develop http://publications.europa.eu/resource/authority/dataset-status/DEVELOP ,Poeti d'Italia in lingua latina; Hellenica; Carmina Latina Epigraphica,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/MSC-10-E,https://vocabs.dariah.eu/tadirah/en/page/discovering; https://vocabs.dariah.eu/tadirah/en/page/analyzing,https://vocabs.dariah.eu/tadirah/gathering; https://vocabs.dariah.eu/tadirah/structuralAnalysis; https://vocabs.dariah.eu/tadirah/en/page/annotating ; ,http://hdl.handle.net/20.500.11752/OPEN-555,/,https://www.mqdq.it/,https://dx.doi.org/10.30687/mag/2724-3923/2023/07/003; https://hdl.handle.net/10278/5030281,,,https://www.mqdqgalaxy.it/public/backend; https://www.mqdq.it/public/ricerca/avanzata,https://pric.unive.it/projects/mqdq-galaxy/home,"Open access
http://purl.org/coar/access_right/c_abf2",/,Georgicon, ,GEYMONAT M. 1973 (2008) (ed.); P. Vergili Maronis Opera; Augustae Taurinorum (ristampa anastaticacon correzioni: Roma 2008).,Critical edition,Vergilius,,https://vocabs.dariah.eu/dyas/en/page/?uri=https%3A%2F%2Fhumanitiesthesaurus.academyofathens.gr%2Fdyas-resource%2FConcept%2F2537,2300000 tokens
BUP - Digital Humanties,,Digital editions and databases,Fulvio delle Donne (direttore),Alessandro Di Muro (coordinatore comitato editoriale); Cristiano Amendola (componente comitato editoriale); Teofilo De Angelis (componente comitato editoriale); Martina Pavoni (componente comitato editoriale).,,Collana editoriale,ISSN: 2724-2072,2020,,,http://www.dublincore.org/documents/dces , ,,,,,,, ,https://web.unibas.it/bup/omp/index.php/bup/catalog/series/DH,,,,,,,,,,,,,,,
BUP - Human_IT,Human_It: Collecting; editing; analysing Italian humanist’s letters (1400-1499),Letters between Italian humanist intellectuals of the 15th century,Cristiano Amendola; Università della Basilicata; https://orcid.org/0000-0001-9146-2224 ,,Basilicata University Press - Digital Humanities,atlas:TextualArchive,/,2019-10-02,ITA http://publications.europa.eu/resource/authority/language/ITA ; ENG http://publications.europa.eu/resource/authority/language/ENG  ,XML/TEI https://www.iana.org/assignments/media-types/application/tei+xml http://publications.europa.eu/resource/authority/file-type/XML,http://www.dublincore.org/documents/dces ,,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/MSC-10-E ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SC-11-A1 ,https://vocabs.dariah.eu/tadirah/gathering,,not available,,https://humanit-bup.unibas.it/,,,,,,,CC BY 4.0  https://w3id.org/italia/controlled-vocabulary/licences/A21_CCBY40 ,,,,,,letters,,/
