DIGITAL SCHOLARLY EDITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Title,Description,Creator,Contributor,Publisher,Type,Identifier,Release Date,Language,Format,Metadata standards,Status,Has part,Is Part Of,Academic field,Research activities,Methodology,Downloads,Current Version,Landing Page,Bibliographic References,Research Project,Software reuse,Access point,Documentation,Access Rights,License,Edited work (M),Reference to the edited text,Bibliographic reference of edited text,Specifications on the edited text,Author(s) of the edited text,Type of the edited text,Genre,Type of edition
VaSto,VaSto - Varchi; Storia fiorentina edizione digitale,The VaSto project; developed within the /DH.arc of the University of Bologna; is the result of a collaboration between the University of Bologna; Concordia University in Montreal; and CarisBo. It presents; in an interactive digital environment; the genetic and annotated digital edition of the Storia fiorentina by Benedetto Varchi (1503-1565).,/DH.arc - Università di Bologna,,/DH.arc (UNIBO),atlas:DigitalScholarlyEdition,/,2020,italiano; italiano volgare (IT) http://publications.europa.eu/resource/authority/language/ITA ,XML (TEI) http://publications.europa.eu/resource/authority/file-type/XML  https://www.iana.org/assignments/media-types/application/tei+xml ,,Develop http://publications.europa.eu/resource/authority/dataset-status/DEVELOP ,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/MSC-10-F,https://vocabs.dariah.eu/tadirah/editing;https://vocabs.dariah.eu/tadirah/annotating,,XML/TEI; https://dharc-org.github.io/progetto-vasto/evt2beta2/index.html#/imgTxt?d=Storia_Fiorentina&p=fol_8r&s=Proemio&e=diplomatic&ce=critical,Prototipo,https://dharc-org.github.io/progetto-vasto/index.html,http://doi.org/10.30687/mag/2724-3923/2021/03/006,,Edition Visualization Technology (EVT 2.0),,https://dharc-org.github.io/progetto-vasto/Funzionalit%C3%A0.html,"Open access 
http://purl.org/coar/access_right/c_abf2",CC BY-NC-ND 3.0,Storia fiorentina,https://www.mirabileweb.it/manuscript/roma-accademia-nazionale-dei-lincei-biblioteca-(bi-manuscript/19567,Roma; Accademia Nazionale dei Lincei; Biblioteca (Biblioteca Corsiniana) 39.D.5 (Rossi 395; Cors. 1532),Original manuscript,Benedetto Varchi,atlas:singleWork,,atlas:criticalEdition
Codice Pelavicino Digitale,Codice Pelavicino Digitale,The Codice Pelavicino Edizione Digitale project created a digital edition of the manuscript using the open-source EVT software; enabling in-depth study without physical consultation.,Enrica Salvatori (ORCID; VIAF),,LABCD (UNIPI),atlas:DigitalScholarlyEdition,ISBN 978-88-944430-2-8; DOI: https://doi.org/10.13131/978-88-944430-2-8,2020-12,latino medievale (LAT) http://publications.europa.eu/resource/authority/language/LAT ,XML (TEI) http://publications.europa.eu/resource/authority/file-type/XML  https://www.iana.org/assignments/media-types/application/tei+xml ,,Completed https://publications.europa.eu/resource/authority/dataset-status/COMPLETED ,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SC-11-A1 ,https://vocabs.dariah.eu/tadirah/digitalPublishing; https://vocabs.dariah.eu/tadirah/annotating; https://vocabs.dariah.eu/tadirah/capturing,,http://hdl.handle.net/20.500.11752/OPEN-1012,,https://pelavicino.labcd.unipi.it/evt/,https://doi.org/10.6092/issn.2532-8816/7232,,Edition Visualization Technology (EVT 1.0),,,"Open access 
http://purl.org/coar/access_right/c_abf2",CC-BY-NC,,https://www.mirabileweb.it/manuscript/sarzana-(la-spezia)-archivio-capitolare-lunense-sa-manuscript/245466,Sarzana (La Spezia); Archivio Capitolare Lunense-Sarzanense «Codice Pelavicino»,Original manuscript,,atlas:singleManuscript,,atlas:documentaryEdition
Digital Edition of Aldo Moro's works,Digital Edition of Aldo Moro's works,Critical edition; philologically informed and annotated; of both published and unpublished texts by the statesman; with a historical introduction. Fully accessible online for free and openly available.,,,Università di Bologna,atlas:DigitalScholarlyEdition,ISBN: 9788854970496; DOI: https://doi.org/10.6092/unibo/aldomoro,,italiano; italiano volgare (IT) http://publications.europa.eu/resource/authority/language/ITA ,XML (TEI) http://publications.europa.eu/resource/authority/file-type/XML https://www.iana.org/assignments/media-types/application/tei+xml; PDF http://publications.europa.eu/resource/authority/file-type/PDF https://www.iana.org/assignments/media-types/application/pdf; HTML http://publications.europa.eu/resource/authority/file-type/HTML https://www.iana.org/assignments/media-types/text/html,,Develop http://publications.europa.eu/resource/authority/dataset-status/DEVELOP ,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/MSC-10-F,https://vocabs.dariah.eu/tadirah/editing; https://vocabs.dariah.eu/tadirah/annotating,,Gli anni giovanili (1939-1946); Al ministero degli Esteri e all’opposizione nel partito (giugno 1968 – giugno 1973); Il ritorno al centro-sinistra e la “solidarietà nazionale” (giugno 1973 – maggio 1978),,https://aldomorodigitale.unibo.it/edition,,,,,https://aldomorodigitale.unibo.it/about/docs/workflow,"Open access 
http://purl.org/coar/access_right/c_abf2",CC BY-NC 4.0,,, ,,Aldo Moro,atlas:collectedWorks,,atlas:criticalEdition
BUP - Ebulo,De rebus Siculis Carmen,TEI-XML edition of Il De rebus Siculis carmen (also known as Carmen de motibus Siculis or Liber ad honorem Augusti); utilizing EVT - Edition Visualization Technology,Fulvio Delle Donne (ORCID; VIAF),Angela Brescia; Martina Pavoni.,Basilicata University Press - Digital Humanities,atlas:DigitalScholarlyEdition,NBN: http://nbn.depositolegale.it/urn:nbn:it:unina-25836; ISBN XML 2024: 978-88-31309-28-8,2024,latino medievale (LAT) http://publications.europa.eu/resource/authority/language/LAT ,XML (TEI) http://publications.europa.eu/resource/authority/file-type/XML https://www.iana.org/assignments/media-types/application/tei+xml; PDF http://publications.europa.eu/resource/authority/file-type/PDF https://www.iana.org/assignments/media-types/application/pdf,,Completed https://publications.europa.eu/resource/authority/dataset-status/COMPLETED ,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/MSC-10-E ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SC-11-A1,https://vocabs.dariah.eu/tadirah/editing; https://vocabs.dariah.eu/tadirah/annotating; https://vocabs.dariah.eu/tadirah/capturing,,XML e PDF,2 (con LOD),http://web.unibas.it/bup/evt2/pde/index.html,,,Edition Visualization Technology (EVT 2.0),,,"Open access 
http://purl.org/coar/access_right/c_abf2",CC BY-NC-ND 4.0,De rebus siculis carmen,,,,Petrus de Ebulo,atlas:singleWork,,atlas:criticalEdition
